CASE    EPOCHS  NODES   L_RATE      RAD     L_DECAY     R_DECAY     RESULT
8		500		6		0.30		2		power		power		1563.61
8		500		6		0.30		2		power		power		1563.61
8		500		6		0.60		2		power		power		1514.91
8		200		6		0.60		2		power		power		1563.11
8		300		10		0.60		1		power		power		1617.03
8		500		6		0.50		2		exp	        exp	    	1431.45
8		500		6		0.70		2		exp			exp			1439.90
8		400		7		0.50		2		exp			exp		    1549.46
8		500		5		0.50		2		exp			exp			1509.20
8		500		6		1.00		2		exp			exp			1509.01
8		500		6		0.50		2		power		exp			1537.19
8		500		6		0.50		2		exp			power		1520.44
8		500		6		2.00		2		exp			exp			2183.77
8		500		6		4.00		2		exp			exp			2130.06
8		500		6		3.00		2		exp			exp			2130.06
8		500		6		0.40		2		exp			exp			1466.36
8		500		6		0.30		2		exp			exp			1554.79
8		683		10		0.31		4		exp			power		1503.54
8		519		4		0.72		3		power		exp			1556.10
8		101		6		0.10		3		exp			power		1605.02
8		732		7		0.78		3		power		exp			1491.89
8		253		2		1.00		1		power		power		1608.64
8		882		2		0.75		2		exp			exp			1435.14
8		929		7		0.37		4		exp			power		1467.95
8		816		4		0.62		3		exp			power		1484.95
8		479		8		0.03		3		power		exp			1669.68
8		559		3		0.80		4		power		power		1479.04
8		473		7		0.94		1		exp			power		1449.81
8		976		7		0.11		1		exp			power		1485.95
8		238		5		0.44		4		exp			exp			1590.41
8		546		9		0.62		3		exp			exp			1493.55
8		162		10		0.60		4		linear		linear		1538.19
8		584		2		0.76		2		exp			exp			1539.53
8		575		3		0.62		1		exp			power		1445.46
8		832		3		0.34		1		exp			linear		1614.83
8		260		10		0.25		4		linear		exp			1726.85
8		428		10		0.28		4		linear		linear		1561.14
8		500		6		0.30		2		power		power		1563.61
8		239		2		0.10		3		power		exp			1774.83
8		150		8		0.81		1		power		linear		1510.30
8		339		4		0.55		2		linear		linear		1555.32
8		477		2		0.73		4		linear		exp			1620.13
8		495		8		0.70		4		linear		exp			1641.55
8		517		4		0.08		1		power		exp			1650.18
8		474		7		0.83		3		power		power		1492.55
8		877		7		0.95		3		linear		exp			1599.05
8		506		4		0.03		2		exp			exp			1604.03
8		374		2		0.47		3		exp			exp			1464.54
8		796		4		0.87		1		power		exp			1518.02
8		913		5		0.35		1		exp			linear		1553.11
8		870		3		0.11		2		power		exp			1648.05
8		763		2		0.87		4		linear		power		1597.02
8		508		6		0.85		2		linear		power		1644.95
8		402		6		0.82		1		power		linear		1492.93
8		103		8		0.41		4		exp			exp			1504.94
8		488		3		0.60		3		linear		exp			1678.90
8		256		7		0.86		1		linear		linear		1550.27
8		737		7		0.02		1		power		linear		1591.63
8		315		4		0.99		4		linear		power		1591.85
8		864		10		0.07		4		linear		linear		1740.15
8		203		6		0.59		1		linear		power		1647.29
8		761		4		0.53		4		linear		power		1647.14
8		780		9		0.89		2		linear		power		1613.82
8		631		5		0.75		3		linear		exp			1621.76
8		563		5		0.59		4		linear		exp			1658.89
8		997		4		0.11		1		exp			power		1531.16
8		404		3		0.35		2		linear		exp			1739.67
8		996		8		0.65		3		exp			linear		1561.16
8		652		2		0.17		4		power		linear		1524.68
8		733		6		0.36		4		linear		linear		1621.11
8		785		5		0.25		3		exp			exp			1536.12
8		139		6		0.69		4		power		power		1515.91
8		358		2		0.23		4		linear		linear		1715.65
8		818		10		0.63		2		linear		power		1615.29
8		423		4		0.88		3		exp			linear		1608.76
8		440		6		0.86		4		power		linear		1648.46
8		292		8		0.68		4		linear		linear		1565.55
8		181		7		0.05		2		power		linear		1627.79
8		776		6		0.59		2		linear		linear		1610.52
8		467		4		0.71		3		exp			exp			1472.29
8		416		4		0.99		4		exp			power		1538.40
8		846		5		0.58		3		linear		linear		1501.79
8		932		2		0.83		4		power		power		1490.62
8		125		8		0.21		4		exp			power		1569.04
8		252		9		0.37		1		linear		exp			1828.82
8		494		5		0.79		2		linear		exp			1643.13
8		681		2		0.38		4		power		power		1613.54
8		384		5		0.63		1		linear		linear		1541.12
8		614		8		0.80		3		power		power		1507.29
8		906		10		0.99		4		exp			power		1477.01
8		855		9		0.14		4		exp			linear		1528.49
8		914		5		0.54		4		linear		power		1658.73
8		471		9		0.56		3		exp			power		1454.61
8		811		8		0.72		4		linear		linear		1577.66
8		983		9		0.35		1		power		exp			1532.52
8		345		4		0.71		1		exp			linear		1529.03
8		468		8		0.91		3		exp			exp			1514.89
8		744		7		0.25		1		power		power		1576.83
8		694		8		0.12		2		linear		linear		1770.09
8		603		10		0.12		1		exp			exp			1519.79
8		181		7		0.70		3		exp			linear		1513.82
8		904		5		0.18		2		power		linear		1518.59
8		287		3		0.40		3		exp			power		1547.16
8		162		6		0.52		2		power		exp			1546.77
8		722		8		0.13		1		exp			power		1519.79
8		148		6		0.03		2		power		exp			1923.96
8		382		10		0.82		1		power		exp			1589.36
8		256		10		0.19		2		linear		exp			1750.86
8		601		5		0.17		1		linear		linear		1627.77
8		943		7		0.84		4		exp			linear		1636.50
8		826		6		0.57		2		exp			exp			1443.44
8		250		8		0.25		2		linear		exp			1847.97
8		759		7		0.06		1		linear		exp			2317.15
8		152		9		0.48		3		exp			linear		1620.76
8		454		2		1.00		2		exp			linear		1676.75
8		590		9		0.13		3		linear		linear		1614.18
8		447		10		0.95		3		linear		linear		1537.46
8		260		5		0.47		4		power		exp			1536.73
8		863		2		0.05		3		exp			linear		1602.04
8		792		7		0.90		2		power		exp			1577.08
8		406		6		0.30		4		linear		exp			1635.67
8		220		3		0.43		2		power		linear		1534.39
8		277		9		0.06		1		power		power		1860.35
8		352		2		0.81		2		linear		linear		1532.70
8		111		2		0.03		4		linear		linear		2033.27
8		880		4		0.06		4		power		linear		1606.89
8		342		9		0.02		3		exp			power		1569.80
8		520		10		0.77		1		linear		linear		1543.27
8		105		5		0.08		2		exp			exp			1568.86
8		210		8		1.00		1		power		linear		1559.98
8		308		4		0.61		2		power		linear		1450.84
8		671		10		0.69		4		linear		exp			1644.47
8		913		3		0.63		4		linear		linear		1651.97
8		363		6		0.99		3		power		exp			1536.02
8		333		10		0.78		4		exp			power		1549.24
8		640		8		0.59		4		power		power		1551.44
8		402		2		0.20		1		power		linear		1507.06
8		682		6		0.77		2		power		exp			1592.35
8		704		10		0.44		1		power		power		1563.61
8		777		3		0.88		3		power		exp			1546.97
8		739		4		0.27		2		exp			exp			1546.42
8		742		6		0.47		1		power		exp			1561.84
8		130		4		0.36		4		linear		linear		1539.78
8		138		6		0.53		1		exp			exp			1502.80
8		821		5		0.32		2		linear		exp			1727.96
8		821		3		0.69		2		exp			exp			1433.16
8		707		9		0.55		1		exp			exp			1441.09
8		134		10		0.34		3		exp			linear		1584.88
8		508		5		0.65		1		linear		exp			1637.47
8		891		2		0.94		2		linear		linear		1548.30
8		739		10		0.63		3		exp			linear		1535.39
8		371		2		0.36		2		power		power		1585.12
8		366		5		0.92		1		power		linear		1555.86
8		413		8		0.28		4		power		linear		1580.26
8		277		3		0.39		4		power		exp			1533.98
8		717		6		0.60		4		exp			linear		1607.89
8		709		8		0.49		4		power		linear		1580.35
8		367		10		0.16		3		power		exp			1594.75
8		462		10		0.79		4		linear		exp			1629.42
8		332		5		0.42		4		exp			exp			1520.05
8		504		2		0.47		3		power		linear		1621.49
8		393		2		0.95		3		linear		exp			1639.50
8		146		8		0.39		2		linear		linear		1616.47
8		630		7		0.23		1		exp			power		1568.76
8		684		4		0.16		2		power		linear		1522.52
8		578		8		0.08		4		power		power		1600.50
8		474		6		0.80		1		exp			power		1458.95
8		681		3		0.80		3		power		power		1544.66
8		197		6		0.62		3		power		linear		1675.54
8		651		5		0.05		2		power		exp			1656.31
8		175		7		0.33		1		power		linear		1462.69
8		768		4		0.55		3		linear		exp			1657.03
8		114		3		0.37		4		exp			power		1498.40
8		680		8		0.63		3		power		linear		1612.12
8		850		3		0.31		1		power		exp			1604.21
8		781		4		0.84		4		linear		linear		1587.14
8		918		3		0.99		1		linear		power		1627.99
8		564		7		0.02		2		power		power		1772.08
8		428		3		0.87		4		linear		exp			1573.94
8		537		6		0.79		3		exp			linear		1713.30
8		293		5		0.52		2		exp			linear		1456.23
8		792		5		0.84		1		power		exp			1550.01
8		168		8		0.75		2		power		power		1532.63
8		500		6		0.30		2		power		power		1563.61
8		239		2		0.10		3		power		exp			1774.83
8		864		10		0.99		1		power		power		1548.92
8		843		6		0.40		4		linear		exp			1648.12
8		871		4		0.07		2		power		exp			1601.99
8		843		10		0.23		3		exp			exp			1480.26
8		482		4		0.38		3		power		linear		1563.95
8		640		10		0.11		4		exp			power		1588.89
8		646		3		0.63		2		linear		linear		1514.87
8		965		3		0.48		2		exp			power		1531.17
8		261		2		0.52		4		exp			power		1590.33
8		185		5		0.90		3		power		linear		1630.90
8		123		6		0.06		3		linear		power		2206.53
8		418		6		0.03		1		exp			linear		1623.53
8		779		10		0.78		4		power		power		1522.70
8		664		8		0.45		1		linear		power		1704.60
8		410		7		0.09		3		exp			exp			1545.91
8		360		5		0.69		3		exp			power		1475.96
8		140		2		0.94		1		exp			linear		1580.70
8		753		6		0.09		1		power		power		1662.84
8		488		5		0.95		2		linear		exp			1622.03
8		835		7		0.09		3		power		power		1615.16
8		498		5		0.83		1		linear		exp			1626.52
8		603		3		0.53		1		linear		power		1661.76
8		129		4		0.69		2		linear		exp			1620.26
8		491		10		0.13		1		linear		exp			1962.00
8		797		10		0.47		4		power		exp			1541.92
8		161		9		0.87		1		linear		power		1625.31
8		879		5		0.81		2		linear		linear		1579.40
8		560		6		0.78		2		power		power		1556.20
8		561		5		0.25		1		power		exp			1628.35
8		506		3		0.49		4		exp			power		1454.26
8		636		10		0.00		2		exp			power		1608.90
8		802		6		0.73		2		linear		power		1658.73
8		464		4		0.73		2		exp			linear		1457.57
8		355		4		0.24		1		exp			exp			1564.50
8		258		3		0.57		1		linear		power		1669.08
8		159		7		0.80		4		exp			power		1554.88
8		295		9		0.74		3		exp			linear		1630.42
8		370		3		0.35		3		exp			power		1493.21
8		706		4		0.21		1		power		exp			1649.38
8		204		3		0.40		4		linear		power		1649.54
8		185		4		0.60		1		exp			power		1511.85
8		569		9		0.26		2		linear		power		1863.08
8		618		9		0.57		4		linear		linear		1494.19
8		587		4		0.73		2		power		power		1586.16
8		481		5		0.48		4		power		linear		1644.81
8		603		4		0.49		4		exp			linear		1594.36
8		270		8		0.44		3		power		linear		1569.49
8		461		10		0.53		2		linear		power		1637.13
8		224		5		0.12		2		linear		power		2012.70
8		128		8		0.97		4		linear		exp			1625.77
8		523		9		0.81		1		linear		linear		1522.57
8		712		7		0.97		1		linear		exp			1635.62
8		652		9		0.43		3		exp			linear		1502.41
8		801		6		0.35		2		power		linear		1542.19
8		268		5		0.05		2		power		power		1707.49
8		419		9		0.87		3		linear		linear		1512.99
8		335		3		0.25		1		exp			linear		1522.45
8		758		8		0.19		1		linear		power		1830.48
8		946		8		0.19		1		linear		linear		1641.95
8		303		4		0.88		3		exp			linear		1752.64
8		443		3		0.75		1		power		linear		1540.50
8		210		7		0.43		3		exp			exp			1548.83
8		855		6		0.18		2		linear		linear		1662.04
8		895		4		0.20		2		exp			linear		1555.36
8		988		7		0.77		3		linear		power		1629.42
8		695		5		0.39		4		power		power		1641.51
8		293		3		0.02		1		linear		exp			2359.87
8		261		10		0.62		4		exp			exp			1441.93
8		780		8		0.28		2		linear		power		1852.11
8		937		5		0.51		3		power		power		1607.36
